SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"174303064484400","ADVENTURE 28 WELL, ST. CROIX, USVI","GW","USGS",-64.81181240,17.71553003,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=174303064484400"
"175734066233300","ALOMAR OESTE WELL, SANTA ISABEL, PR","GW","USGS",-66.39216119,17.95780016,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=175734066233300"
"175858066100200","JUA 5 WELL, GUAYAMA, PR","GW","USGS",-66.16683318,17.98079943,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=175858066100200"
"175910066155500","PIEZOMETER RASA D, SALINAS, PR","GW","USGS",-66.26522337,17.98435456,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=175910066155500"
"175934066364800","CONSTANCIA 3 WELL, PONCE, PR","GW","USGS",-66.61317270,17.99091100,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=175934066364800"
"175947066130601","PIEZOMETER AGUIRRE HW 5B, SALINAS, PR","GW","USGS",-66.21600050,17.99413195,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=175947066130601"
"175951066233800","SANSON 4 WELL, SANTA ISABEL, PR","GW","USGS",-66.39391667,17.99744444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=175951066233800"
"180052066471000","MER 3 WELL, GUAYANILLA, PR","GW","USGS",-66.78609190,18.01288173,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=180052066471000"
"180057066311300","PIEZOMETER JAC-6, JUANA DIAZ, PR","GW","USGS",-66.51989430,18.01385325,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=180057066311300"
"180122066560300","ARENAS 1 WELL, GUANICA, PR","GW","USGS",-66.93350980,18.02032529,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=180122066560300"
"180531067010000","SAN GERMAN 1 WELL, SAN GERMAN, PR","GW","USGS",-67.01628927,18.09018270,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=180531067010000"
"180559065280501","VIEQUES A1 WELL, VIEQUES, PR","GW","USGS",-65.46749210,18.09824228,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=180559065280501"
"181217065453000","PIEZOMETER CA-1, NAGUABO, PR","GW","USGS",-65.75793978,18.20273623,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=181217065453000"
"181301067081900","CE-RUM2 OBSERVATION WELL, MAYAGUEZ CAMPUS, PR","GW","USGS",-67.13829900,18.21468480,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=181301067081900"
"181352066025300","PIEZOMETER CAGUAS-JUNCOS 19A, CAGUAS, PR","GW","USGS",-66.04766549,18.22912200,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=181352066025300"
"182038064550300","GRADE SCHOOL 3 WELL, ST. THOMAS, USVI","GW","USGS",-64.91708857,18.34189968,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=182038064550300"
"182044064454900","SUSANNABERG DPW 3 WELL, ST. JOHN, USVI","GW","USGS",-64.76541550,18.34300952,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=182044064454900"
"182133066342800","FLORIDA 7 WELL, FLORIDA, PR","GW","USGS",-66.57392260,18.35767184,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=182133066342800"
"182224065430300","MW 11 WELL, LUQUILLO, PR","GW","USGS",-65.71727340,18.37142305,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=182224065430300"
"182515065594100","PIEZOMETER CAMPO RICO 1, CAROLINA, PR","GW","USGS",-65.99433208,18.41883580,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=182515065594100"
"182515066194000","PONDEROSA 1 WELL, VEGA ALTA, PR","GW","USGS",-66.32739149,18.41883659,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=182515066194000"
