Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,482542,-,-,-,40.49,-105.06,-7,1518,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2022,1,1,0,0,-10,0,0,0,7,-13.5,0,0,0,0,75.44,162.48,0.8,820,0.5,108,2.2,0.0000,0.0000
2022,1,1,0,30,-10.200000000000001,0,0,0,7,-13.5,0,0,0,0,76.64,161.64000000000001,0.8,820,0.5,108,2.3000000000000003,0.0000,0.0000
2022,1,1,1,0,-10.4,0,0,0,7,-14.100000000000001,0,0,0,0,74.29,158.86,0.8,820,0.5,108,2.4000000000000004,0.0000,0.0000
2022,1,1,1,30,-10.700000000000001,0,0,0,7,-14.100000000000001,0,0,0,0,76.08,154.78,0.8,820,0.5,108,2.5,0.0000,0.0000
2022,1,1,2,0,-11.100000000000001,0,0,0,7,-14.9,0,0,0,0,73.7,149.95000000000002,0.8,820,0.5,109,2.6,0.0000,0.0000
2022,1,1,2,30,-11.5,0,0,0,7,-14.9,0,0,0,0,76.09,144.68,0.8,820,0.5,106,2.5,0.0000,0.0000
2022,1,1,3,0,-11.8,0,0,0,7,-15.600000000000001,0,0,0,0,73.67,139.18,0.8,820,0.5,104,2.4000000000000004,0.0000,0.0000
2022,1,1,3,30,-12,0,0,0,8,-15.5,0,0,0,0,74.95,133.54,0.8,821,0.4,100,2.2,0.0000,0.0000
2022,1,1,4,0,-12.100000000000001,0,0,0,8,-16,0,0,0,0,72.85000000000001,127.85000000000001,0.8,821,0.4,96,2,0.0000,0.0000
2022,1,1,4,30,-12.200000000000001,0,0,0,5,-16,0,0,0,0,73.44,122.15,0.8,821,0.4,91,1.9000000000000001,0.0000,0.0000
2022,1,1,5,0,-12.4,0,0,0,7,-16.5,0,0,0,0,71.5,116.49000000000001,0.8,821,0.4,87,1.8,0.0000,0.0000
2022,1,1,5,30,-12.5,0,0,0,7,-16.5,0,0,0,0,72.17,110.89,0.8,822,0.4,80,1.6,0.0000,0.0000
2022,1,1,6,0,-12.600000000000001,0,0,0,8,-17,0,0,0,0,69.84,105.38,0.8,822,0.4,74,1.5,0.0000,0.0000
2022,1,1,6,30,-12.8,0,0,0,7,-17,0,0,0,0,70.97,100.01,0.8,822,0.4,64,1.5,0.0000,0.0000
2022,1,1,7,0,-13,0,0,0,7,-17.6,0,0,0,0,68.46000000000001,94.8,0.8,823,0.4,55,1.4000000000000001,0.0000,0.0000
2022,1,1,7,30,-12.9,10,81,11,7,-17.6,5,0,57,5,67.9,89.4,0.8,823,0.4,52,1.5,0.0000,0.0000
2022,1,1,8,0,-12.8,36,375,69,7,-17.5,29,0,100,29,67.95,84.91,0.8,824,0.4,49,1.6,0.0000,0.0000
2022,1,1,8,30,-12.3,54,566,147,7,-17.5,49,1,14,49,65.26,80.52,0.8,824,0.4,43,1.8,0.0000,0.0000
2022,1,1,9,0,-11.9,66,682,226,7,-16.7,56,0,0,56,67.62,76.46000000000001,0.8,825,0.4,37,1.9000000000000001,2.7059,2.0740
2022,1,1,9,30,-11.600000000000001,77,759,301,7,-16.7,90,1,0,90,66.02,72.81,0.8,825,0.4,30,2,4.4898,3.4632
2022,1,1,10,0,-11.3,84,816,368,7,-16.5,109,1,0,109,65.66,69.66,0.8,826,0.4,23,2,5.5971,4.3361
2022,1,1,10,30,-11,89,863,425,7,-16.5,119,1,0,119,64.11,67.08,0.8,826,0.30000000000000004,14,2,6.2459,4.8525
2022,1,1,11,0,-10.600000000000001,91,893,466,7,-16.1,173,3,0,174,63.870000000000005,65.15,0.8,826,0.30000000000000004,6,2,9.2706,7.2151
2022,1,1,11,30,-10.100000000000001,90,914,492,7,-16.1,177,3,0,178,61.31,63.92,0.8,825,0.30000000000000004,179,2.1,9.5686,7.4543
2022,1,1,12,0,-9.700000000000001,87,930,503,8,-15.600000000000001,151,2,0,152,62.01,63.43,0.8,825,0.30000000000000004,353,2.2,8.1989,6.3896
2022,1,1,12,30,-9.1,83,937,498,8,-15.600000000000001,190,8,0,194,59.160000000000004,63.71,0.8,825,0.30000000000000004,350,2.4000000000000004,10.4441,8.1376
2022,1,1,13,0,-8.5,77,941,478,7,-15.100000000000001,172,8,0,175,59.03,64.75,0.8,826,0.30000000000000004,347,2.7,9.3514,7.2804
2022,1,1,13,30,-8,71,932,443,7,-15.100000000000001,173,7,0,176,56.78,66.5,0.8,826,0.30000000000000004,347,2.7,9.2805,7.2142
